Tipo de documento,Número de documento,Nombre completo,Correo,Teléfono,Dirección,Ciudad,Banco,Tipo de cuenta,Número de cuenta,Titular de la cuenta,Responsable de IVA,Agente retenedor de renta,Agente retenedor de IVA,Agente retenedor de ICA,Notas
NIT,890501723,Inversiones Los Cerezos S.A.S.,pagos@inversionescerezos4.example.com,6012484155,Circular 90 # 91-67,Sabaneta,BBVA,CORRIENTE,253612949430,Inversiones Los Cerezos S.A.S.,Sí,Sí,Sí,No,
NIT,900748163,Constructora Altavista S.A.,pagos@constructoraaltavista.example.com,6059485880,Diagonal 100 # 5-8,Bogotá,DAVIVIENDA,CORRIENTE,533431584942,Constructora Altavista S.A.,Sí,Sí,No,Sí,
NIT,901905858,Fiduciaria del Valle S.A.,pagos@fiduciariavalle.example.com,6050030432,Diagonal 82 # 87-36,Barranquilla,BANCOLOMBIA,CORRIENTE,28958747776,Fiduciaria del Valle S.A.,Sí,No,No,No,
NIT,890527164,Inmobiliaria Santa Ana Ltda.,pagos@inmobiliariasanta.example.com,6058653849,Carrera 94 # 46-67,Medellín,BANCO_BOGOTA,CORRIENTE,263767795,Inmobiliaria Santa Ana Ltda.,Sí,Sí,Sí,No,Prefiere que le escriban por WhatsApp
NIT,901197238,Rentas Urbanas del Norte S.A.S.,pagos@rentasurbanas.example.com,6012864896,Calle 19 # 22-73,Cali,BANCO_CAJA_SOCIAL,CORRIENTE,36500386693,Rentas Urbanas del Norte S.A.S.,Sí,No,No,No,
NIT,800013137,Patrimonio Familiar Restrepo & Cía. S. en C.,pagos@patrimoniofamiliar5.example.com,6022082115,Calle 73 # 43-59,Medellín,NEQUI,AHORROS,6022082115,Patrimonio Familiar Restrepo & Cía. S. en C.,Sí,Sí,Sí,No,
CE,303682,Gloria Inés Gallego Marín,gloria.gallego76@example.com,3169914670,Calle 57 # 83-63,Bogotá,BANCOLOMBIA,AHORROS,65198980359,Gloria Inés Gallego Marín,No,No,No,No,Vive en el exterior; contacto sólo por correo
CE,963898,Catalina Quintero Moreno,catalina.quintero96@example.com,3023144392,Calle 121 # 15-31,Medellín,BANCOLOMBIA,CORRIENTE,18485298187,Catalina Quintero Moreno,No,No,No,No,
CE,435025,Mariana Pérez Hernández,mariana.perez@example.com,3003612884,Diagonal 79 # 8-13,Bogotá,BANCOLOMBIA,AHORROS,25607323142,Mariana Pérez Hernández,No,No,No,No,Girar después del 5 de cada mes
CC,1001098833,Luisa Fernanda Duque Martínez,luisa.duque@example.com,3140408399,Carrera 112 # 45-35,Bogotá,BANCO_OCCIDENTE,AHORROS,123595442,Luisa Fernanda Duque Martínez,No,No,No,No,
CC,80384078,Esteban Jaramillo Restrepo,esteban.jaramillo@example.com,3188788937,Calle 54 # 93-37,Medellín,BANCOLOMBIA,AHORROS,65123721481,Esteban Jaramillo Restrepo,No,No,No,No,Pide el certificado de retención cada enero
CC,41614582,Santiago Betancur Castro,santiago.betancur@example.com,3028706856,Calle 55 # 17-75,Bogotá,BANCOLOMBIA,AHORROS,65151578843,Santiago Betancur Castro,No,No,No,No,
CC,1086269299,Héctor Fabio Bedoya Uribe,hector.bedoya71@example.com,3122790796,Circular 127 # 41-67,Medellín,BANCOLOMBIA,AHORROS,40722527731,Héctor Fabio Bedoya Uribe,No,No,No,No,
CC,41997305,Felipe Castro Bedoya,felipe.castro@example.com,3118260159,Carrera 25 # 25-61,Cali,NEQUI,AHORROS,3118260159,Felipe Castro Bedoya,No,No,No,No,
CC,1071161259,Iván Darío Mejía Agudelo,ivan.mejia93@example.com,3104057703,Carrera 67 # 97-78,Bogotá,BANCO_BOGOTA,AHORROS,445110702,Iván Darío Mejía Agudelo,No,No,No,No,
CC,32263501,Gloria Inés Gómez Ospina,gloria.gomez92@example.com,3174540743,Carrera 107 # 99-72,Pereira,BANCOLOMBIA,AHORROS,91239299590,Gloria Inés Gómez Ospina,No,No,No,No,
CC,19082134,Andrés Felipe Escobar Castro,andres.escobar@example.com,3119089474,Calle 38 # 13-28,Medellín,BANCOLOMBIA,AHORROS,91279550917,Andrés Felipe Escobar Castro,No,No,No,No,Pide el certificado de retención cada enero
CC,32017049,Nataly Ramírez Valencia,nataly.ramirez91@example.com,3006650985,Calle 8 # 92-15,Bogotá,BANCOLOMBIA,AHORROS,65163145182,Daniela Martínez Restrepo,No,No,No,No,"La cuenta es de la esposa, ver titular"
CC,1052462103,Juan Camilo Correa Henao,juan.correa@example.com,3053007721,Calle 136 # 39-64,Bogotá,BANCO_OCCIDENTE,AHORROS,900355674,Juan Camilo Correa Henao,No,No,No,No,
CC,52292383,Gloria Inés Betancur Ospina,gloria.betancur@example.com,3220757882,Calle 88 # 5-27,Envigado,BANCO_OCCIDENTE,AHORROS,021462637,Gloria Inés Betancur Ospina,No,No,No,No,"La cuenta es de la esposa, ver titular"
CC,1045265284,Daniela Quintero Muñoz,daniela.quintero@example.com,3216818878,Calle 96 # 46-47,Sabaneta,DAVIVIENDA,CORRIENTE,382333651123,Daniela Quintero Muñoz,No,No,No,No,
CC,1019126067,Luisa Fernanda Cardona Torres,luisa.cardona78@example.com,3045933710,Calle 37 # 24-51,Barranquilla,BANCO_CAJA_SOCIAL,AHORROS,67867534509,Luisa Fernanda Cardona Torres,No,No,No,No,Vive en el exterior; contacto sólo por correo
CC,1070448134,Laura Castro Hoyos,laura.castro@example.com,3121625400,Carrera 150 # 84-17,Medellín,DAVIVIENDA,CORRIENTE,391597666463,Claudia Patricia Quintero Ramírez,Sí,No,No,No,"La cuenta es de la esposa, ver titular"
CC,1061339665,Leonardo Cardona Restrepo,leonardo.cardona93@example.com,3026520690,Calle 133 # 34-15,Bogotá,DAVIVIENDA,AHORROS,156591521232,Leonardo Cardona Restrepo,No,No,No,No,
CC,32821863,Gloria Inés Torres Henao,gloria.torres96@example.com,3170964476,Carrera 79 # 5-5,Bogotá,DAVIVIENDA,AHORROS,233260227330,Gloria Inés Torres Henao,No,No,No,No,
CC,1092008255,Nicolás Rojas Cardona,nicolas.rojas75@example.com,3109470879,Carrera 19 # 88-21,Bogotá,BANCOLOMBIA,CORRIENTE,75549987822,Nicolás Rojas Cardona,No,No,No,No,"La cuenta es de la esposa, ver titular"
CC,43840977,Iván Darío Franco Hoyos,ivan.franco@example.com,3502116832,Carrera 24 # 91-12,Pereira,ITAU,AHORROS,546764206488,Iván Darío Franco Hoyos,Sí,No,No,No,
CC,1082053607,Felipe Mejía Hernández,felipe.mejia73@example.com,3182805133,Calle 80 # 31-66,Bogotá,BANCOLOMBIA,AHORROS,40781103092,Felipe Mejía Hernández,No,No,No,No,
