Título,Dirección,Ciudad,Barrio,Departamento,Tipo Inmueble,Tipo de Negocio,Canon Mensual,Precio de Venta,Administración,Comisión %,Área m2,Habitaciones,Baños,Propietario,Tel Propietario,Estado,Observaciones,Fecha de Consignación
Apartamento en Provenza,Calle 75 # 57-31 Apto 802,Medellín,Provenza,Antioquia,Apartamento,Arriendo,2400000,,550000,9,108,3,2,Luisa Fernanda Cardona Torres,3045933710,Arrendado,,2023-12-10
Apartamento en Estadio,Carrera 39D # 12-92 Apto 1003,Medellín,Estadio,Antioquia,Apartamento,Arriendo,1600000,,620000,10,111,2,2,Isabella Toro Salazar,3041691707,Arrendado,,2023-06-19
Oficina en Loma de los Bernal,Calle 7 # 91-82 Of. 1301,Medellín,Loma de los Bernal,Antioquia,Oficina,Arriendo,6050000,,190000,8,72,0,2,Inversiones Los Cerezos S.A.S.,6012484155,Arrendado,Se aceptan mascotas,2025-11-29
Apartamento en La América,Carrera 44 # 94-6 Apto 1703,Medellín,La América,Antioquia,Apartamento,Arriendo,4050000,,620000,10,80,4,1,Gloria Inés Agudelo Botero,3147699392,Arrendado,,2025-12-11
Casa en Nicolás de Federmán,Calle 51 # 27-72 Casa 1,Bogotá,Nicolás de Federmán,Cundinamarca,Casa,Arriendo,3550000,,,10,105,5,2,Nataly Ramírez Valencia,3006650985,Arrendado,Gas natural,2026-05-21
Apartamento en El Golf,Carrera 6 # 81-14 Apto 901,Barranquilla,El Golf,Atlántico,Apartamento,Arriendo,3700000,,420000,8,49,3,3,Fabián Agudelo Gómez,3204287339,Arrendado,,2023-04-26
Casa en Riomar,Carrera 29 # 35-73,Barranquilla,Riomar,Atlántico,Casa,Arriendo,2100000,,,8,248,3,4,Gloria Inés Gallego Marín,3169914670,Arrendado,,2024-01-11
Casa en Las Lomitas,Carrera 38C # 93-71,Sabaneta,Las Lomitas,Antioquia,Casa,Arriendo,3850000,,,8,234,4,4,Esteban Ramírez Franco,3130696226,Arrendado,,2024-02-08
Apartamento en El Poblado,Circular 15 # 99-34 Apto 1801,Medellín,El Poblado,Antioquia,Apartamento,Arriendo,1300000,,570000,10,126,4,2,Fiduciaria del Valle S.A.,6050030432,Arrendado,Piso 12 con balcón,2024-02-14
Oficina en Granada,Carrera 4 # 70-54 Of. 1505,Cali,Granada,Valle del Cauca,Oficina,Arriendo,4600000,,580000,10,39,0,1,Camila Echeverri Uribe,3133845912,Arrendado,,2022-08-16
Apartamento en Modelia,Calle 135 # 58-45 Apto 1103,Bogotá,Modelia,Cundinamarca,Apartamento,Arriendo,4100000,,530000,10,74,1,2,Luis Alberto García Moreno,3104599353,Arrendado,,2022-03-17
Apartamento en Zúñiga,Diagonal 38 # 84-69 Apto 1004,Envigado,Zúñiga,Antioquia,Apartamento,Arriendo,1850000,,630000,8,115,3,3,Camila Arango Londoño,3201033807,Arrendado,Recién remodelado,2025-01-14
Apartamento en Usaquén,Carrera 84 # 25-96 Apto 701,Bogotá,Usaquén,Cundinamarca,Apartamento,Arriendo,3300000,,410000,8,119,2,3,Iván Darío Mejía Agudelo,3104057703,Arrendado,,2025-01-12
Local comercial en Colina Campestre,Carrera 143 Sur # 44-68 Local 14,Bogotá,Colina Campestre,Cundinamarca,Local comercial,Arriendo,5700000,,80000,10,138,0,2,Mariana Pérez Hernández,3003612884,Arrendado,,2023-04-19
Local comercial en Conquistadores,Avenida 10 # 59-90 Local 7,Medellín,Conquistadores,Antioquia,Local comercial,Arriendo,8950000,,340000,10,156,0,2,Luis Alberto García Moreno,3104599353,Arrendado,,2025-07-03
Apartamento en Zúñiga,Carrera 55 # 24-3 Apto 202,Envigado,Zúñiga,Antioquia,Apartamento,Arriendo,3550000,,460000,10,109,2,2,Carolina García Duque,3009343852,Arrendado,Con terraza,2022-07-29
Apartamento en La Floresta,Calle 59 # 91-2 Apto 1404,Bucaramanga,La Floresta,Santander,Apartamento,Arriendo,1500000,,260000,10,114,3,2,Marta Cecilia Torres Correa,3211916654,Arrendado,Con terraza,2026-04-13
Apartamento en Zúñiga,Calle 40 # 15-19 Apto 1602,Envigado,Zúñiga,Antioquia,Apartamento,Arriendo,2050000,,480000,10,83,1,1,Camila Echeverri Uribe,3133845912,Arrendado,,2024-06-01
Estudio en Las Lomitas,Carrera 31 # 74-29 Apto 903,Sabaneta,Las Lomitas,Antioquia,Estudio,Arriendo,1000000,,260000,10,31,1,1,Paula Andrea Uribe Castaño,3116928984,Arrendado,,2023-06-24
Estudio en Estadio,Carrera 53 # 18-70 Apto 802,Medellín,Estadio,Antioquia,Estudio,Arriendo,1400000,,220000,9,30,1,1,Esteban Ramírez Franco,3130696226,Arrendado,,2022-07-20
Local comercial en Conquistadores,Transversal 43 # 30-93 Local 6,Medellín,Conquistadores,Antioquia,Local comercial,Arriendo,7100000,,190000,10,88,0,1,Mónica Liliana Martínez Franco,3208632503,Arrendado,,2025-01-31
Estudio en Aves María,Carrera 17 # 28-49 Apto 801,Sabaneta,Aves María,Antioquia,Estudio,Arriendo,1400000,,150000,8,44,1,1,Luisa Fernanda Echeverri Uribe,3212757064,Arrendado,,2024-08-19
Apartamento en Sotomayor,Calle 72 # 74-77 Apto 504,Bucaramanga,Sotomayor,Santander,Apartamento,Arriendo,1100000,,310000,10,62,3,2,Fiduciaria del Valle S.A.,6050030432,Arrendado,Incluye cuarto útil,2024-03-25
Casa en Nicolás de Federmán,Calle 45B # 81-25,Bogotá,Nicolás de Federmán,Cundinamarca,Casa,Arriendo,5700000,,,8,233,3,4,Camila Arango Londoño,3201033807,Arrendado,Parqueadero cubierto,2024-03-23
Oficina en Loma de los Bernal,Diagonal 43 Bis # 37-8 Of. 202,Medellín,Loma de los Bernal,Antioquia,Oficina,Arriendo,3800000,,630000,10,106,0,2,Mariana Pérez Hernández,3003612884,Arrendado,,2022-10-11
Estudio en Rosales,Carrera 9 # 26-93 Apto 901,Bogotá,Rosales,Cundinamarca,Estudio,Arriendo,1550000,,210000,10,28,1,1,Nataly Rojas Ochoa,3012879489,Arrendado,Piso 12 con balcón,2024-12-01
Apartamento en Rosales,Circular 169 # 86-61 Apto 201,Bogotá,Rosales,Cundinamarca,Apartamento,Arriendo,1600000,,520000,9,60,1,3,Camilo Arango Bedoya,3500194047,Arrendado,,2024-08-03
Casa en Teusaquillo,Calle 155 # 72-12 Casa 3,Bogotá,Teusaquillo,Cundinamarca,Casa,Arriendo,3650000,,,9,185,3,3,Yesica López López,3158424730,Arrendado,Piso 12 con balcón,2024-12-07
Casa en Cedritos,Carrera 136 # 7-36 Casa 17,Bogotá,Cedritos,Cundinamarca,Casa,Arriendo,5050000,,,8,177,3,2,Constructora Altavista S.A.,6059485880,Arrendado,Incluye cuarto útil,2023-06-13
Oficina en Usaquén,Calle 63 # 66-38 Of. 503,Bogotá,Usaquén,Cundinamarca,Oficina,Arriendo,4050000,,500000,9,115,0,2,Felipe Ospina Vélez,3002469026,Arrendado,Parqueadero cubierto,2022-02-10
Apartamento en El Golf,Carrera 17 # 83-96 Apto 1502,Barranquilla,El Golf,Atlántico,Apartamento,Arriendo,1550000,,240000,8,52,3,1,Juliana Mejía García,3210927375,Arrendado,,2022-03-16
Apartamento en Loma de los Bernal,Avenida 84 # 3-48 Apto 1004,Medellín,Loma de los Bernal,Antioquia,Apartamento,Arriendo,3700000,,400000,10,125,4,2,Fiduciaria del Valle S.A.,6050030432,Arrendado,,2022-04-17
Apartamento en La Soledad,Carrera 23 # 10-81 Apto 1603,Bogotá,La Soledad,Cundinamarca,Apartamento,Arriendo,5200000,,450000,10,104,4,2,Mariana Pérez Hernández,3003612884,Arrendado,,2023-11-04
Casa en Santa Bárbara,Calle 150 # 65-70 Casa 31,Bogotá,Santa Bárbara,Cundinamarca,Casa,Arriendo,6300000,,,10,212,3,4,Constructora Altavista S.A.,6059485880,Arrendado,Con terraza,2022-09-18
Oficina en Estadio,Diagonal 6 # 64-85 Of. 1205,Medellín,Estadio,Antioquia,Oficina,Arriendo,2100000,,500000,10,67,0,1,Jaime Ramírez Echeverri,3120849801,Arrendado,,2025-09-13
Casa en Aves María,Calle 84C # 41-35 Casa 29,Sabaneta,Aves María,Antioquia,Casa,Arriendo,4100000,,,9,148,5,3,Nataly Ramírez Valencia,3006650985,Arrendado,Gas natural,2025-05-30
Oficina en Rosales,Calle 23 # 70-72 Of. 401,Bogotá,Rosales,Cundinamarca,Oficina,Arriendo,2650000,,280000,10,59,0,1,Iván Darío Franco Hoyos,3502116832,Arrendado,Cuarto piso sin ascensor,2024-09-21
Apartamento en Laureles,Diagonal 28 # 24-85 Apto 1402,Medellín,Laureles,Antioquia,Apartamento,Arriendo,3700000,,260000,10,133,1,2,Gloria Inés Betancur Ospina,3220757882,Arrendado,,2025-06-03
Apartamento en Chicó Norte,Carrera 10 # 27-27 Apto 803,Bogotá,Chicó Norte,Cundinamarca,Apartamento,Arriendo,4800000,,530000,10,48,3,1,Camilo Arango Bedoya,3500194047,Arrendado,Recién remodelado,2024-10-12
Apartamento en Teusaquillo,Calle 166 Sur # 77-28 Apto 202,Bogotá,Teusaquillo,Cundinamarca,Apartamento,Arriendo,5250000,,180000,9,86,2,3,Marcela Arango Sánchez,3003561061,Arrendado,,2022-04-03
Bodega en Teusaquillo,Diagonal 17 # 26-8 Bodega 28,Bogotá,Teusaquillo,Cundinamarca,Bodega,Arriendo,15000000,,260000,10,391,0,1,Laura Castro Hoyos,3121625400,Arrendado,Parqueadero cubierto,2025-11-19
Apartamento en Chapinero Alto,Calle 157 # 26-24 Apto 1101,Bogotá,Chapinero Alto,Cundinamarca,Apartamento,Arriendo,2800000,,330000,10,92,4,3,Felipe Ospina Vélez,3002469026,Arrendado,Amoblado,2022-12-30
