Dirección del inmueble,Nombre del arrendatario,Cédula del arrendatario,Correo del arrendatario,Teléfono del arrendatario,Nombre del propietario,Documento del propietario,Fecha de inicio,Fecha de terminación,Canon de arrendamiento,Depósito,Día de pago,Uso del inmueble,Periodicidad,Comisión de administración
Calle 75 # 57-31 Apto 802,Claudia Patricia Rodríguez Castaño,43106494,claudia.rodriguez@example.com,3239063726,Luisa Fernanda Cardona Torres,1019126067,2024-04-10,2027-04-10,2400000,0,5,VIVIENDA,MENSUAL,9
Carrera 39D # 12-92 Apto 1003,Nicolás Rojas Vélez,43068270,nicolas.rojas@example.com,3052456341,Isabella Toro Salazar,80178907,2025-01-20,2027-01-20,1600000,0,5,VIVIENDA,MENSUAL,10
Calle 7 # 91-82 Of. 1301,Mauricio Castaño Sánchez,613797,mauricio.castano@example.com,3165568650,Inversiones Los Cerezos S.A.S.,890501723,2024-06-15,2027-06-15,6050000,6050000,15,COMERCIAL,BIMESTRAL,8
Carrera 44 # 94-6 Apto 1703,Alejandro Vargas Cardona,80048600,alejandro.vargas86@example.com,3130938319,Gloria Inés Agudelo Botero,52365464,2025-11-20,2026-11-20,4050000,0,15,VIVIENDA,MENSUAL,10
Calle 51 # 27-72 Casa 1,Nicolás Hoyos Ospina,1065436660,nicolas.hoyos@example.com,3047352286,Nataly Ramírez Valencia,32017049,2024-07-01,2027-07-01,3550000,0,5,VIVIENDA,MENSUAL,10
Carrera 6 # 81-14 Apto 901,Lina María Agudelo Torres,1007577315,lina.agudelo86@example.com,3147979960,Fabián Agudelo Gómez,1095898901,2024-11-05,2026-11-05,3700000,0,7,VIVIENDA,MENSUAL,8
Carrera 29 # 35-73,Ana María Vélez Echeverri,51964363,ana.velez@example.com,3017857880,Gloria Inés Gallego Marín,303682,2025-12-05,2026-12-05,2100000,0,5,VIVIENDA,MENSUAL,8
Carrera 38C # 93-71,Luz Marina Herrera Botero,52068938,luz.herrera75@example.com,3152558821,Esteban Ramírez Franco,1022531659,2025-02-20,2027-02-20,3850000,0,1,VIVIENDA,MENSUAL,8
Circular 15 # 99-34 Apto 1801,Valentina Jaramillo Botero,16101164,valentina.jaramillo@example.com,3162976750,Fiduciaria del Valle S.A.,901905858,2026-05-05,2027-05-05,1300000,0,3,VIVIENDA,MENSUAL,10
Carrera 4 # 70-54 Of. 1505,Lina María Salazar Uribe,51856256,lina.salazar@example.com,3133328810,Camila Echeverri Uribe,31671656,2026-05-01,2027-05-01,4600000,9200000,5,COMERCIAL,BIMESTRAL,10
Calle 135 # 58-45 Apto 1103,Lina María Castaño Hernández,79224353,lina.castano@example.com,3226039649,Luis Alberto García Moreno,1087508433,2024-07-10,2027-07-10,4100000,0,5,VIVIENDA,MENSUAL,10
Diagonal 38 # 84-69 Apto 1004,Nataly Henao Mejía,1089198623,nataly.henao89@example.com,3040516447,Camila Arango Londoño,70404179,2024-06-01,2027-06-01,1850000,0,5,VIVIENDA,MENSUAL,8
Carrera 84 # 25-96 Apto 701,Lina María Pérez Castro,1023998502,lina.perez96@example.com,3100033878,Iván Darío Mejía Agudelo,1071161259,2025-06-15,2027-06-15,3300000,0,5,VIVIENDA,MENSUAL,8
Carrera 143 Sur # 44-68 Local 14,Julián David Herrera Correa,71006561,julian.herrera@example.com,3100026903,Mariana Pérez Hernández,435025,2026-06-01,2027-06-01,5700000,5700000,5,COMERCIAL,MENSUAL,10
Avenida 10 # 59-90 Local 7,Juliana Arango Muñoz,32949427,juliana.arango@example.com,3008118030,Luis Alberto García Moreno,1087508433,2025-08-15,2027-08-15,8950000,8950000,10,COMERCIAL,MENSUAL,10
Carrera 55 # 24-3 Apto 202,Ana María Vélez Ospina,1085846331,ana.velez80@example.com,3504287825,Carolina García Duque,1043233293,2025-04-05,2027-04-05,3550000,0,15,VIVIENDA,MENSUAL,10
Calle 59 # 91-2 Apto 1404,Ana María Henao García,1001183036,ana.henao@example.com,3237996839,Marta Cecilia Torres Correa,1094455983,2025-07-05,2027-07-05,1500000,0,10,VIVIENDA,MENSUAL,10
Calle 40 # 15-19 Apto 1602,Héctor Fabio Toro López,43492096,hector.toro78@example.com,3180103700,Camila Echeverri Uribe,31671656,2026-02-20,2027-02-20,2050000,0,1,VIVIENDA,MENSUAL,10
Carrera 31 # 74-29 Apto 903,Nicolás Marín Franco,1011096446,nicolas.marin@example.com,3002653766,Paula Andrea Uribe Castaño,1007772380,2025-06-05,2027-06-05,1000000,0,3,VIVIENDA,MENSUAL,10
Carrera 53 # 18-70 Apto 802,Carlos Andrés Arango López,1058115576,carlos.arango@example.com,3150730735,Esteban Ramírez Franco,1022531659,2024-06-05,2027-06-05,1400000,0,1,VIVIENDA,MENSUAL,9
Transversal 43 # 30-93 Local 6,Camilo Londoño Uribe,41271634,camilo.londono70@example.com,3507373537,Mónica Liliana Martínez Franco,16668716,2026-03-15,2027-03-15,7100000,14200000,1,COMERCIAL,MENSUAL,10
Carrera 17 # 28-49 Apto 801,Mateo Marín Torres,66896304,mateo.marin71@example.com,3171523563,Luisa Fernanda Echeverri Uribe,1097788350,2024-04-05,2027-04-05,1400000,0,3,VIVIENDA,MENSUAL,8
Calle 72 # 74-77 Apto 504,Luis Alberto Torres Franco,66578576,luis.torres73@example.com,3156296233,Fiduciaria del Valle S.A.,901905858,2024-07-01,2027-07-01,1100000,0,5,VIVIENDA,MENSUAL,10
Calle 45B # 81-25,Nicolás Londoño Jaramillo,70814637,nicolas.londono@example.com,3014365039,Camila Arango Londoño,70404179,2026-05-20,2027-05-20,5700000,0,5,VIVIENDA,MENSUAL,8
Diagonal 43 Bis # 37-8 Of. 202,Adriana Castaño Jaramillo,79317028,adriana.castano78@example.com,3209120778,Mariana Pérez Hernández,435025,2026-05-15,2027-05-15,3800000,3800000,5,COMERCIAL,MENSUAL,10
