Número del comprobante,Fecha,Descripción,Código de cuenta,Débito,Crédito,Detalle de la línea
RC-202606-0007,2026-06-01,Recaudo canon junio — Carrera 38C # 93-71,111005,3850000,,Pago de Luz Marina
RC-202606-0007,2026-06-01,Recaudo canon junio — Carrera 38C # 93-71,28150505,,3850000,Canon
RC-202606-0019,2026-06-01,Recaudo canon junio — Carrera 53 # 18-70 Apto 802,111005,1620000,,Pago de Carlos Andrés
RC-202606-0019,2026-06-01,Recaudo canon junio — Carrera 53 # 18-70 Apto 802,28150505,,1400000,Canon
RC-202606-0019,2026-06-01,Recaudo canon junio — Carrera 53 # 18-70 Apto 802,28150510,,220000,Cuota de administración
RC-202606-0020,2026-06-01,Recaudo canon junio — Transversal 43 # 30-93 Local 6,111005,7290000,,Pago de Camilo Londoño
RC-202606-0020,2026-06-01,Recaudo canon junio — Transversal 43 # 30-93 Local 6,28150505,,7100000,Canon
RC-202606-0020,2026-06-01,Recaudo canon junio — Transversal 43 # 30-93 Local 6,28150510,,190000,Cuota de administración
RC-202606-0026,2026-06-01,Recaudo canon junio — Carrera 136 # 7-36 Casa 17,111005,5050000,,Pago de Nataly Rojas
RC-202606-0026,2026-06-01,Recaudo canon junio — Carrera 136 # 7-36 Casa 17,28150505,,5050000,Canon
RC-202606-0028,2026-06-01,Recaudo canon junio — Carrera 17 # 83-96 Apto 1502,111005,1790000,,Pago de Mateo Pérez
RC-202606-0028,2026-06-01,Recaudo canon junio — Carrera 17 # 83-96 Apto 1502,28150505,,1550000,Canon
RC-202606-0028,2026-06-01,Recaudo canon junio — Carrera 17 # 83-96 Apto 1502,28150510,,240000,Cuota de administración
RC-202606-0036,2026-06-01,Recaudo canon junio — Carrera 10 # 27-27 Apto 803,111005,5330000,,Pago de Catalina García
RC-202606-0036,2026-06-01,Recaudo canon junio — Carrera 10 # 27-27 Apto 803,28150505,,4800000,Canon
RC-202606-0036,2026-06-01,Recaudo canon junio — Carrera 10 # 27-27 Apto 803,28150510,,530000,Cuota de administración
RC-202606-0044,2026-06-01,Recaudo canon junio — Carrera 26 # 33-94,111005,5400000,,Pago de Héctor Fabio
RC-202606-0044,2026-06-01,Recaudo canon junio — Carrera 26 # 33-94,28150505,,5400000,Canon
